ID	Length(aa)	Type	Gene Structure
Cla011870	705	RLK	.
Cla012023	466	RLK	.
Cla012039	897	RLK	.
Cla012043	634	RLK	.
Cla012111	781	RLK	.
Cla012196	270	RLK	.
Cla012308	665	RLK	.
Cla012436	663	RLK	.
Cla012561	658	RLK	.
Cla012567	1108	RLK	.
Cla012568	1107	RLK	.
Cla012619	754	RLK	.
Cla012635	887	RLK	.
Cla012636	877	RLK	.
Cla012650	670	RLK	.
Cla012716	819	RLK	.
Cla012778	403	RLK	.
Cla012837	595	RLK	.
Cla012938	676	RLK	.
Cla012966	706	RLK	.
Cla012968	709	RLK	.
Cla013004	656	RLK	.
Cla013006	647	RLK	.
Cla013031	654	RLK	.
Cla013073	472	RLK	.
Cla013095	769	RLK	.
Cla013213	643	RLK	.
Cla013268	838	RLK	.
Cla013379	688	RLK	.
Cla013412	473	RLK	.
Cla013422	630	RLK	.
Cla013484	507	RLK	.
Cla013613	409	RLK	.
Cla013640	386	RLK	.
Cla013652	851	RLK	.
Cla013656	976	RLK	.
Cla013661	526	RLK	.
Cla013673	783	RLK	.
Cla013792	1096	RLK	.
Cla013846	690	RLK	.
Cla013877	478	RLK	.
Cla013889	493	RLK	.
Cla013890	749	RLK	.
Cla013891	754	RLK	.
Cla013893	750	RLK	.
Cla013965	656	RLK	.
Cla013986	1235	RLK	.
Cla014069	807	RLK	.
Cla014070	1019	RLK	.
Cla014184	1039	RLK	.
Cla014268	1126	RLK	.
Cla014290	690	RLK	.
Cla014320	446	RLK	.
Cla014356	932	RLK	.
Cla014474	726	RLK	.
Cla014475	676	RLK	.
Cla014477	545	RLK	.
Cla014478	523	RLK	.
Cla014506	603	RLK	.
Cla014527	625	RLK	.
Cla014639	660	RLK	.
Cla014728	617	RLK	.
Cla014853	603	RLK	.
Cla014955	860	RLK	.
Cla014972	634	RLK	.
Cla015037	1088	RLK	.
Cla015299	1093	RLK	.
Cla015320	721	RLK	.
Cla015333	410	RLK	.
Cla015419	875	RLK	.
Cla015437	768	RLK	.
Cla015501	713	RLK	.
Cla015581	889	RLK	.
Cla015608	545	RLK	.
Cla015609	634	RLK	.
Cla015610	872	RLK	.
Cla015611	910	RLK	.
Cla015612	735	RLK	.
Cla015613	876	RLK	.
Cla015615	891	RLK	.
Cla015619	616	RLK	.
Cla015638	979	RLK	.
Cla015719	691	RLK	.
Cla015922	908	RLK	.
Cla015928	470	RLK	.
Cla016363	947	RLK	.
Cla016425	964	RLK	.
Cla016464	777	RLK	.
Cla016488	626	RLK	.
Cla016499	418	RLK	.
Cla016510	833	RLK	.
Cla016553	645	RLK	.
Cla016557	898	RLK	.
Cla016650	1672	RLK	.
Cla016652	657	RLK	.
Cla016744	652	RLK	.
Cla016767	673	RLK	.
Cla016870	627	RLK	.
Cla016912	977	RLK	.
Cla017112	662	RLK	.
Cla017212	435	RLK	.
Cla017220	1026	RLK	.
Cla017352	758	RLK	.
Cla017526	900	RLK	.
Cla017527	725	RLK	.
Cla017549	662	RLK	.
Cla017550	666	RLK	.
Cla017555	675	RLK	.
Cla017629	820	RLK	.
Cla017740	665	RLK	.
Cla017747	1164	RLK	.
Cla017830	725	RLK	.
Cla017847	864	RLK	.
Cla017917	477	RLK	.
Cla017919	1502	RLK	.
Cla017931	811	RLK	.
Cla017932	812	RLK	.
Cla017933	796	RLK	.
Cla017977	840	RLK	.
Cla017978	847	RLK	.
Cla017979	1014	RLK	.
Cla018015	667	RLK	.
Cla018019	857	RLK	.
Cla018055	960	RLK	.
Cla018070	921	RLK	.
Cla018185	637	RLK	.
Cla018190	660	RLK	.
Cla018191	681	RLK	.
Cla018282	736	RLK	.
Cla018444	662	RLK	.
Cla018462	942	RLK	.
Cla018483	642	RLK	.
Cla018484	633	RLK	.
Cla018485	624	RLK	.
Cla018486	515	RLK	.
Cla018487	650	RLK	.
Cla018667	1373	RLK	.
Cla018725	430	RLK	.
Cla018731	851	RLK	.
Cla018750	989	RLK	.
Cla018751	868	RLK	.
Cla018762	639	RLK	.
Cla018882	405	RLK	.
Cla018899	651	RLK	.
Cla018959	667	RLK	.
Cla019085	1097	RLK	.
Cla019092	876	RLK	.
Cla019131	619	RLK	.
Cla019213	1131	RLK	.
Cla019227	656	RLK	.
Cla019242	696	RLK	.
Cla019332	532	RLK	.
Cla019412	503	RLK	.
Cla019414	635	RLK	.
Cla019418	585	RLK	.
Cla019419	646	RLK	.
Cla019436	850	RLK	.
Cla019437	834	RLK	.
Cla019439	689	RLK	.
Cla019440	805	RLK	.
Cla019442	821	RLK	.
Cla019444	823	RLK	.
Cla019446	693	RLK	.
Cla019447	686	RLK	.
Cla019508	683	RLK	.
Cla019516	1060	RLK	.
Cla019636	717	RLK	.
Cla019655	1096	RLK	.
Cla019656	1113	RLK	.
Cla019660	683	RLK	.
Cla019661	465	RLK	.
Cla019664	716	RLK	.
Cla019694	1002	RLK	.
Cla019753	511	RLK	.
Cla019794	855	RLK	.
Cla019992	469	RLK	.
Cla020098	815	RLK	.
Cla020178	616	RLK	.
Cla020339	628	RLK	.
Cla020414	824	RLK	.
Cla020419	717	RLK	.
Cla020516	501	RLK	.
Cla020764	885	RLK	.
Cla020849	986	RLK	.
Cla020973	776	RLK	.
Cla020979	628	RLK	.
Cla021020	443	RLK	.
Cla021117	423	RLK	.
Cla021160	381	RLK	.
Cla021216	492	RLK	.
Cla021291	807	RLK	.
Cla021314	710	RLK	.
Cla021447	789	RLK	.
Cla021452	1107	RLK	.
Cla021574	630	RLK	.
Cla021638	641	RLK	.
Cla021700	1341	RLK	.
Cla022184	940	RLK	.
Cla022244	675	RLK	.
Cla022328	821	RLK	.
Cla022349	449	RLK	.
Cla022522	632	RLK	.
Cla022527	443	RLK	.
Cla022587	521	RLK	.
Cla022606	1014	RLK	.
Cla022607	1018	RLK	.
Cla022608	936	RLK	.
Cla022609	879	RLK	.
Cla022921	877	RLK	.
Cla023088	982	RLK	.
Cla023089	947	RLK	.
Cla023106	956	RLK	.
Cla023151	869	RLK	.
Cla023214	598	RLK	.
Cla023256	877	RLK	.
Cla023296	353	RLK	.
Cla023310	985	RLK	.
Cla023311	1008	RLK	.
Cla023312	975	RLK	.
Cla023313	612	RLK	.
Cla023419	842	RLK	.
Cla001247	356	RLP	.
Cla002336	495	RLP	.
Cla002653	804	RLP	.
Cla003597	844	RLP	.
Cla003598	670	RLP	.
Cla004300	868	RLP	.
Cla005844	707	RLP	.
Cla007001	1006	RLP	.
Cla007002	1010	RLP	.
Cla007014	454	RLP	.
Cla008687	502	RLP	.
Cla009480	1013	RLP	.
Cla009579	739	RLP	.
Cla009704	427	RLP	.
Cla011111	828	RLP	.
Cla013498	446	RLP	.
Cla013503	525	RLP	.
Cla013945	432	RLP	.
Cla014052	270	RLP	.
Cla015687	798	RLP	.
Cla015688	926	RLP	.
Cla015756	382	RLP	.
Cla016034	536	RLP	.
Cla017283	1021	RLP	.
Cla017507	1015	RLP	.
Cla018011	1073	RLP	.
Cla018012	1131	RLP	.
Cla019073	315	RLP	.
Cla019581	445	RLP	.
Cla019651	454	RLP	.
Cla019702	610	RLP	.
Cla020356	474	RLP	.
Cla022981	459	RLP	.
Cla023309	409	RLP	.
Cla000515	1489	TM-CC	.
Cla000887	884	TM-CC	.
Cla001161	575	TM-CC	.
Cla001350	295	TM-CC	.
Cla001907	496	TM-CC	.
Cla002227	1071	TM-CC	.
Cla002748	711	TM-CC	.
Cla003287	1451	TM-CC	.
Cla003581	634	TM-CC	.
Cla004112	422	TM-CC	.
Cla004289	1911	TM-CC	.
Cla004386	753	TM-CC	.
Cla004699	1399	TM-CC	.
Cla004905	830	TM-CC	.
Cla004940	173	TM-CC	.
Cla004967	636	TM-CC	.
Cla005225	898	TM-CC	.
Cla005351	501	TM-CC	.
Cla005601	204	TM-CC	.
Cla005744	765	TM-CC	.
Cla005776	1057	TM-CC	.
Cla006169	1735	TM-CC	.
Cla006274	1197	TM-CC	.
Cla006660	168	TM-CC	.
Cla006948	514	TM-CC	.
Cla007059	1529	TM-CC	.
Cla007732	283	TM-CC	.
Cla008326	505	TM-CC	.
Cla008328	527	TM-CC	.
Cla008415	873	TM-CC	.
Cla008777	614	TM-CC	.
Cla008847	246	TM-CC	.
Cla008908	275	TM-CC	.
Cla009183	832	TM-CC	.
Cla010109	442	TM-CC	.
Cla010123	874	TM-CC	.
Cla010354	473	TM-CC	.
Cla010365	1249	TM-CC	.
Cla010562	2538	TM-CC	.
Cla011096	351	TM-CC	.
Cla011302	218	TM-CC	.
Cla011471	740	TM-CC	.
Cla011582	241	TM-CC	.
Cla011863	1170	TM-CC	.
Cla012351	1089	TM-CC	.
Cla012654	1490	TM-CC	.
Cla012688	1423	TM-CC	.
Cla012901	356	TM-CC	.
Cla013457	986	TM-CC	.
Cla013488	330	TM-CC	.
Cla013715	597	TM-CC	.
Cla013811	391	TM-CC	.
Cla013970	531	TM-CC	.
Cla014076	716	TM-CC	.
Cla014185	761	TM-CC	.
Cla014239	516	TM-CC	.
Cla014240	474	TM-CC	.
Cla014645	401	TM-CC	.
Cla015456	603	TM-CC	.
Cla015583	771	TM-CC	.
Cla015946	517	TM-CC	.
Cla015947	518	TM-CC	.
Cla015949	507	TM-CC	.
Cla015950	513	TM-CC	.
Cla016644	1045	TM-CC	.
Cla016909	1411	TM-CC	.
Cla017036	477	TM-CC	.
Cla017037	535	TM-CC	.
Cla017101	222	TM-CC	.
Cla017771	497	TM-CC	.
Cla017772	479	TM-CC	.
Cla017774	487	TM-CC	.
Cla017837	541	TM-CC	.
Cla017985	389	TM-CC	.
Cla018375	1454	TM-CC	.
Cla018417	742	TM-CC	.
Cla018570	2136	TM-CC	.
Cla018686	470	TM-CC	.
Cla018701	657	TM-CC	.
Cla018783	463	TM-CC	.
Cla018921	536	TM-CC	.
Cla019055	620	TM-CC	.
Cla019064	520	TM-CC	.
Cla019563	497	TM-CC	.
Cla019564	577	TM-CC	.
Cla019566	577	TM-CC	.
Cla019843	439	TM-CC	.
Cla020724	525	TM-CC	.
Cla020761	721	TM-CC	.
Cla020799	284	TM-CC	.
Cla020878	361	TM-CC	.
Cla020942	2180	TM-CC	.
Cla020961	1119	TM-CC	.
Cla021357	1511	TM-CC	.
Cla021589	215	TM-CC	.
Cla021790	301	TM-CC	.
Cla021885	670	TM-CC	.
Cla022592	495	TM-CC	.
Cla023146	512	TM-CC	.
